wall_clock_utc,monotonic_ns_at_fire,fire_window_id,outcome,verified,catch_up
2026-05-22T03:00:00+00:00,1779440701507051008,827145d6:2026-05-22T03:00:00+00:00,dry_run,0,1
2025-06-01T03:00:00+00:00,1748746800000000000,cc46d905:2025-06-01T03:00:00+00:00,dry_run,0,1
2025-06-02T03:00:00+00:00,1748833200000000000,9acddaa7:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-01-01T03:00:00+00:00,1735700700000000000,d8a88991:2025-01-01T03:00:00+00:00,dry_run,0,1
2025-06-02T03:00:00+00:00,1748833200000000000,f4618549:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,22b1a58f:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,784b8970:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,08b0badc:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,3a4712b4:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,36f90f22:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,a50c6312:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,e5a13b69:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,3a1cb9d8:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,1624c3fa:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,7129fa47:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,55492d12:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,4d625141:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,53728fe5:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,cdc7e110:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,871375e9:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,67630717:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,10d13829:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,a11a928d:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,8d12c74c:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,458402b3:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,f891654f:2025-06-02T03:00:00+00:00,dry_run,0,0
2026-05-24T03:00:00+00:00,1779652455277387008,b8f72822:2026-05-24T03:00:00+00:00,dry_run,0,1
2025-06-02T03:00:00+00:00,1748833200000000000,511de8fa:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,d862e3c1:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,2c270f46:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,b85ee9f5:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,6798d6bb:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,1be33356:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,7cbc701c:2025-06-02T03:00:00+00:00,dry_run,0,0
2025-06-02T03:00:00+00:00,1748833200000000000,8fe93e73:2025-06-02T03:00:00+00:00,dry_run,0,0
